converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
양,48,True,亮 / 佯 / 倆 / 兩 / 凉 / 喨 / 壤 / 孃 / 徉 / 恙 / 揚 / 攘 / 敭 / 昜 / 暘 / 梁 / 楊 / 樑 / 樣 / 洋 / 涼 / 漾 / 瀁 / 煬 / 痒 / 瘍 / 癢 / 禳 / 穰 / 粮 / 粱 / 糧 / 羊 / 良 / 蘘 / 襄 / 諒 / 讓 / 踉 / 輛 / 釀 / 量 / 鑲 / 陽 / 颺 / 養 / 驤 / 魎,8241,907
초,47,True,僬 / 初 / 剿 / 勦 / 哨 / 噍 / 峭 / 怊 / 悄 / 愀 / 憔 / 抄 / 招 / 杪 / 梢 / 椒 / 楚 / 樵 / 炒 / 焦 / 燋 / 硝 / 礁 / 礎 / 秒 / 稍 / 綃 / 肖 / 艸 / 草 / 蕉 / 誚 / 譙 / 貂 / 超 / 軺 / 迢 / 酢 / 醋 / 醮 / 鈔 / 鍫 / 鍬 / 鞘 / 髫 / 鷦 / 齠,3523,383
장,46,True,丈 / 仗 / 匠 / 場 / 墻 / 壯 / 奘 / 奬 / 妝 / 將 / 嶂 / 帳 / 庄 / 張 / 戕 / 掌 / 杖 / 樟 / 檣 / 欌 / 漳 / 漿 / 牆 / 獎 / 獐 / 璋 / 瘴 / 章 / 粧 / 腸 / 臟 / 臧 / 莊 / 萇 / 葬 / 蔣 / 薔 / 藏 / 裝 / 賬 / 贓 / 醬 / 鏘 / 長 / 障 / 麞,8813,1026
오,45,True,五 / 仵 / 伍 / 俉 / 傲 / 午 / 吳 / 吾 / 唔 / 嗚 / 嗷 / 塢 / 墺 / 奧 / 娛 / 寤 / 忤 / 悟 / 懊 / 敖 / 旿 / 晤 / 梧 / 汙 / 汚 / 浯 / 澳 / 烏 / 熬 / 燠 / 獒 / 窹 / 聱 / 蜈 / 襖 / 誤 / 謷 / 迃 / 遨 / 鏖 / 隩 / 驁 / 鰲 / 鼇 / 鼯,5270,663
지,43,True,之 / 只 / 咫 / 地 / 址 / 墀 / 志 / 扺 / 持 / 指 / 摯 / 支 / 旨 / 智 / 枝 / 枳 / 止 / 池 / 沚 / 漬 / 痣 / 知 / 砥 / 祉 / 祗 / 秪 / 紙 / 肢 / 脂 / 至 / 舐 / 芝 / 芷 / 蜘 / 觗 / 誌 / 贄 / 趾 / 踟 / 躓 / 軹 / 遲 / 鷙,23691,2692
시,43,True,侍 / 偲 / 兕 / 匙 / 厮 / 啻 / 嘶 / 塒 / 始 / 媤 / 尸 / 屍 / 屎 / 市 / 廝 / 弑 / 恃 / 施 / 旹 / 是 / 時 / 枲 / 柴 / 柹 / 柿 / 澌 / 猜 / 矢 / 示 / 緦 / 翅 / 蒔 / 蓍 / 視 / 試 / 詩 / 諟 / 諡 / 豉 / 豕 / 豺 / 釃 / 顋,10292,1095
우,42,True,于 / 佑 / 俁 / 偊 / 偶 / 優 / 又 / 友 / 右 / 吁 / 堣 / 宇 / 寓 / 尤 / 嵎 / 愚 / 憂 / 扜 / 旴 / 牛 / 瑀 / 疣 / 盂 / 盱 / 祐 / 禑 / 禹 / 竽 / 紆 / 羽 / 耦 / 耰 / 芋 / 藕 / 虞 / 踽 / 迂 / 遇 / 郵 / 隅 / 雨 / 雩,8390,983
여,42,True,予 / 伃 / 余 / 侶 / 儷 / 勵 / 厲 / 呂 / 唳 / 女 / 如 / 妤 / 廬 / 慮 / 戾 / 旅 / 櫚 / 歟 / 汝 / 濾 / 璵 / 癘 / 礪 / 糲 / 膂 / 臚 / 舁 / 與 / 艅 / 茹 / 藜 / 蠡 / 蠣 / 輿 / 轝 / 鑢 / 閭 / 餘 / 驢 / 驪 / 麗 / 黎,8188,899
저,42,True,佇 / 低 / 儲 / 咀 / 姐 / 岨 / 底 / 抵 / 杵 / 杼 / 柢 / 楮 / 樗 / 氐 / 沮 / 渚 / 瀦 / 牴 / 狙 / 猪 / 疽 / 箸 / 紵 / 罝 / 苧 / 苴 / 菹 / 著 / 藷 / 蛆 / 袛 / 褚 / 觝 / 詆 / 詛 / 豬 / 貯 / 躇 / 這 / 邸 / 雎 / 齟,1908,213
자,41,True,仔 / 刺 / 咨 / 姉 / 姊 / 姿 / 子 / 孖 / 字 / 孜 / 孶 / 恣 / 慈 / 柘 / 泚 / 滋 / 煮 / 玆 / 疵 / 眥 / 眦 / 磁 / 秭 / 紫 / 者 / 耔 / 胾 / 自 / 茨 / 茲 / 蔗 / 藉 / 訾 / 諮 / 貲 / 資 / 赭 / 鎡 / 雌 / 鶿 / 自働,11241,1236
